band,dynamicRange,dataType,nodata value,min,max,mean,std,obj,instid,imgref,date,doy
1.0,0.09002875891746953,6.0,0.0,0.0004903266089968383,0.09051908552646637,0.009027429378306338,0.004133658841157789,5,40023,20110729_224541_r2_scwa__hh,2011-07-29,210
1.0,0.047440522233955555,6.0,0.0,0.0009952775435522199,0.04843579977750778,0.011724202233663049,0.004885067062481825,7,40023,20110729_224541_r2_scwa__hh,2011-07-29,210
1.0,0.04747315717395396,6.0,0.0,0.0011556834215298297,0.048628840595483766,0.011184961163903981,0.004707888773939754,9,40023,20110729_224541_r2_scwa__hh,2011-07-29,210
1.0,0.40309124719351525,6.0,0.0,0.0062997983768582335,0.4093910455703735,0.10537971279828914,0.04962292866175196,11,40018,20110730_221623_r2_scwa__hh,2011-07-30,211
1.0,0.6481471452862024,6.0,0.0,0.02099086903035641,0.6691380143165588,0.17702426638698432,0.07588672670740082,13,40016,20110730_221623_r2_scwa__hh,2011-07-30,211
1.0,0.36056409962475294,6.0,0.0,0.009347302839159964,0.36991140246391296,0.10014182378715902,0.04192082496505031,1,40020,20110730_221623_r2_scwa__hh,2011-07-30,211
1.0,0.473996641114354,6.0,0.0,0.016804067417979237,0.4908007085323334,0.12656716324291567,0.051981996873403366,3,40020,20110730_221623_r2_scwa__hh,2011-07-30,211
1.0,0.9698816239833832,6.0,0.0,0.016524940729141235,0.9864065647125246,0.16926802968483184,0.07596458364442137,5,40018,20110730_221623_r2_scwa__hh,2011-07-30,211
1.0,0.8674707096070052,6.0,0.0,0.019458444789052006,0.8869291543960571,0.2072600952703369,0.08571319610149032,7,40018,20110730_221623_r2_scwa__hh,2011-07-30,211
1.0,0.6154723428189754,6.0,0.0,0.023097489029169083,0.6385698318481445,0.17764657243523532,0.07325046986753855,9,40018,20110730_221623_r2_scwa__hh,2011-07-30,211
